Nome,Preço,Foto,Descrição,Código,Categoria
01 unid - canecas de metal alumínio 500ml,49.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8F2C5F7E-CB7E-43EA-A417-151AAD1AB9C6.jpg?20231221112912320,Caneca de Alumínio com Excelente Acabamento e capacidade para 500ml,CA51,canecas e copos 
05 unid - canecas de metal alumínio 500ml,239.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/66E461E8-BA70-485A-A527-A1DC035E3EF0.jpg?20231221112912713,Caneca de Alumínio com Excelente Acabamento e capacidade para 500ml,CA55,canecas e copos 
10 unid - canecas de metal alumínio 500ml,453.05,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BAEEC811-EB5B-4229-9A30-E7ED32489EDB.jpg?20231221112913073,Caneca de Alumínio com Excelente Acabamento e capacidade para 500ml,CA510,canecas e copos 
25 unid - canecas de metal alumínio 500ml,997.49,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4B9C69AF-453A-411B-BFD9-16C4FDB86294.jpg?20231221112913433,Caneca de Alumínio com Excelente Acabamento e capacidade para 500ml,CA525,canecas e copos 
50 unid - taças plásticas taça 180ml,497.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F4FBD6E5-045A-44EF-A2B4-134F9CACDB61.jpg?20231221113031713,Tag não encontrada,TACS50C,canecas e copos 
100 unid - taças plásticas taça 180ml,892.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1B5E31BD-9018-447A-9B79-0548F1C891F3.jpg?20231221113032103,Tag não encontrada,TACS100C,canecas e copos 
250 unid - taças plásticas taça 180ml,1818.59,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7D13DB37-28BD-4E5B-BCD6-7A59DCE3A974.jpg?20231221113032480,Tag não encontrada,TACS250C,canecas e copos 
1000 unid - taças plásticas taça 180ml,6930.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A70076F8-D329-4654-9D25-E93DA7FDD57C.jpg?20231221113032853,Tag não encontrada,TACS1000C,canecas e copos 
50 unid - taças plásticas taça 180ml,497.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/DBB201B1-BAFC-4437-BB1B-C941104850D4.jpg?20231221113048210,Tag não encontrada,TACST50,canecas e copos 
100 unid - taças plásticas taça 180ml,892.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/743E41A0-95B4-4D97-A895-7CD325D453A3.jpg?20231221113048633,Tag não encontrada,TACST100,canecas e copos 
250 unid - taças plásticas taça 180ml,1818.59,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6E739B21-4972-4137-856D-3C7057C459E8.jpg?20231221113049057,Tag não encontrada,TACST250,canecas e copos 
50 unid - taças plásticas taça de gin 580ml,656.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/146C0E7C-ABE6-425F-8C61-9A793170A1A8.jpg?20231221113124653,Tag não encontrada,TALA50,canecas e copos 
100 unid - taças plásticas taça de gin 580ml,1115.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B84F093F-2D78-4DAB-A9BB-D7972B2A927F.jpg?20231221113125047,Tag não encontrada,TALA100,canecas e copos 
300 unid - taças plásticas taça de gin 580ml,2926.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0D959591-2737-4803-8C7B-F7F7444D9588.jpg?20231221113125483,Tag não encontrada,TALA250,canecas e copos 
500 unid - taças plásticas taça de gin 580ml,4852.39,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/26EA7269-9A05-4AFF-B4D0-1E36535428E2.jpg?20231221113125907,Tag não encontrada,TALA500,canecas e copos 
1000 unid - taças plásticas taça de gin 580ml,9535.39,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4BAF2CC0-611F-4B14-9F5C-E2EE1CB104BA.jpg?20231221113126360,Tag não encontrada,TALA1000,canecas e copos 
50 unid - taças plásticas taça de gin 580ml,516.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0EDD7360-0635-41D8-9998-129C80561A76.jpg?20231221113142450,Tag não encontrada,TAGB50,canecas e copos 
100 unid - taças plásticas taça de gin 580ml,929.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FF01278A-0902-46C8-A389-CAA13905CBF7.jpg?20231221113142843,Tag não encontrada,TAGB100,canecas e copos 
300 unid - taças plásticas taça de gin 580ml,2242.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/229D6362-A56A-46E2-AF6C-014FAD0CDB76.jpg?20231221113143250,Tag não encontrada,TAGB250,canecas e copos 
500 unid - taças plásticas taça de gin 580ml,3711.39,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D389FA7D-4D73-4630-A698-DA01EFBC8614.jpg?20231221113143627,Tag não encontrada,TAGB500,canecas e copos 
1000 unid - taças plásticas taça de gin 580ml,7253.39,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A960B1BC-C3FC-49B4-AD62-408B72E93A7B.jpg?20231221113144017,Tag não encontrada,TAGB1000,canecas e copos 
50 unid - taças plásticas taça 180ml,497.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/158D4FEA-0773-4608-9FB3-CF106AF9A348.jpg?20231221113049480,Tag não encontrada,TACSTN50C,canecas e copos 
100 unid - taças plásticas taça 180ml,892.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8C55491B-0C1B-4BE7-B536-113784A7B377.jpg?20231221113049890,Tag não encontrada,TACSTN100C,canecas e copos 
250 unid - taças plásticas taça 180ml,1818.59,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A5B768A4-6694-45BD-B7AC-A76C96D32051.jpg?20231221113050297,Tag não encontrada,TACSTN250C,canecas e copos 
500 unid - taças plásticas taça 180ml,3550.39,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/248E50BF-16A4-4F81-B11E-16F4770AEF3C.jpg?20231221113050670,Tag não encontrada,TACSTN500C,canecas e copos 
1000 unid - taças plásticas taça 180ml,6930.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/469F22F0-4F2C-4B53-AAFA-8F11462F05E7.jpg?20231221113051067,Tag não encontrada,TSTN100C,canecas e copos 
50 unid - taças plásticas taça de gin 580ml,516.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/31503573-C017-4C90-A823-52F1DFBB9698.jpg?20231221113144390,Tag não encontrada,TAGC50,canecas e copos 
100 unid - taças plásticas taça de gin 580ml,929.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A7BF94AD-9387-4A44-B8D3-737E7FEE58EB.jpg?20231221113144787,Tag não encontrada,TAGC100,canecas e copos 
