Nome,Preço,Foto,Descrição,Código,Categoria
250 unid - carnês capa de carnê apergaminhado 150g sem verniz,335.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F876323A-6158-44D5-A3A9-EAB712F27F24.jpg?20231221105147120,"MATÉRIA PRIMA: Papel AP 150g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: OFFSETSOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO140250C1,carnes 
500 unid - carnês capa de carnê apergaminhado 150g sem verniz,393.55,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/56B59803-88B0-459E-B892-DAECDAF86B99.jpg?20231221105147503,"MATÉRIA PRIMA: Papel AP 150g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: OFFSETSOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO140500C1,carnes 
1000 unid - carnês capa de carnê apergaminhado 150g sem verniz,684.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6C6C09F1-190A-4C01-951C-A60D26003D51.jpg?20231221105147880,"MATÉRIA PRIMA: Papel AP 150g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: OFFSETSOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO141000C1,carnes 
10 unid - carnês capa de carnê couchê 115g sem verniz,32.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2F1BA2C1-ADB6-4744-9E6F-133E58E03AB3.jpg?20231221135011330,"MATÉRIA PRIMA: Papel Couche 115g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: DIGITAL.SOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO14010C,carnes 
10 unid - carnês capa de carnê couchê 115g sem verniz,41.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FC4EF3D7-11C2-48A8-8EC8-7107A8CF8F3A.jpg?20231221135011707,"MATÉRIA PRIMA: Papel Couche 115g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: DIGITAL.SOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO14410C,carnes 
25 unid - carnês capa de carnê couchê 115g sem verniz,57.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/29D16E83-9CC9-4947-AC3E-7A7B83F71B7C.jpg?20231221135012110,"MATÉRIA PRIMA: Papel Couche 115g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: DIGITAL.SOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO14025C,carnes 
25 unid - carnês capa de carnê couchê 115g sem verniz,80.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/22BAC250-86D4-4BBA-8188-AA60AA8748AB.jpg?20231221135012487,"MATÉRIA PRIMA: Papel Couche 115g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: DIGITAL.SOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO14425C,carnes 
50 unid - carnês capa de carnê couchê 115g sem verniz,98.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/96F1F25E-E836-401D-83F8-14F553F7DD47.jpg?20231221135012880,"MATÉRIA PRIMA: Papel Couche 115g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: DIGITAL.SOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO14050C,carnes 
50 unid - carnês capa de carnê couchê 115g sem verniz,141.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3D7DC6DD-E05C-43A6-BF80-45F23CB37B10.jpg?20231221135013270,"MATÉRIA PRIMA: Papel Couche 115g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: DIGITAL.SOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO14450C,carnes 
100 unid - carnês capa de carnê couchê 115g sem verniz,187.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/88B4853B-3B17-49FF-B750-B1C13626A5E7.jpg?20231221135013660,"MATÉRIA PRIMA: Papel Couche 115g. Veja o vídeo com os tipos de papéis .TAMANHO FINAL DO PRODUTO ABERTO: 422x99mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 209x99mm aproximadamente.A capa não possui cola.TIPO DE IMPRESSÃO: DIGITAL.SOBRE O CARNÊ: O Carnê é bastante utilizado em lojas que trabalham com crediário, em escolas para pagamentos de mensalidades e em renegociações de dívidas. Supreenda seus clientes!.EVITE ERROS, (ARTE NÃO INCLUSA)",CO140100C,carnes 
