Nome,Preço,Foto,Descrição,Código,Categoria
05 unid - cartão de vacina apergaminhado 180g 182x102mm,31.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4065209F-E9CD-4A16-BE17-E1F0B639F95A.jpg?20231221135024203,Tag não encontrada,CARTV6C,cartao de vacina 
10 unid - cartão de vacina apergaminhado 180g 182x102mm,36.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A3917656-17A3-48E6-814A-529E9E52D93E.jpg?20231221135024563,Tag não encontrada,CARTV7C,cartao de vacina 
25 unid - cartão de vacina apergaminhado 180g 182x102mm,55.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B9C21863-C01A-43B8-A9B0-BDB39A85DC04.jpg?20231221135024923,Tag não encontrada,CARTV8CC,cartao de vacina 
50 unid - cartão de vacina apergaminhado 180g 182x102mm,81.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/260CE3E2-08B0-4211-BCC3-0E6228244DAC.jpg?20231221135025283,Tag não encontrada,CARTV8C,cartao de vacina 
100 unid - cartão de vacina apergaminhado 180g 182x102mm,143.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A6A2AAF9-4B50-4672-A071-E9CF660027D0.jpg?20231221135025660,Tag não encontrada,CARTV10C,cartao de vacina 
05 unid - cartão de vacina apergaminhado 240g 182x102mm,31.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E9327EAF-3254-4F6C-A25A-B57A1B7D7BFE.jpg?20231221135029730,Tag não encontrada,CARTV6,cartao de vacina 
10 unid - cartão de vacina apergaminhado 240g 182x102mm,38.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A99E9BA9-0870-405B-9A66-37E753E54C0E.jpg?20231221135030107,Tag não encontrada,CARTV7,cartao de vacina 
25 unid - cartão de vacina apergaminhado 240g 182x102mm,68.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0B015359-2437-48BD-BF4B-C445E2054322.jpg?20231221135030467,Tag não encontrada,CARTV8,cartao de vacina 
50 unid - cartão de vacina apergaminhado 240g 182x102mm,123.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/67E0BCCB-0E32-47F0-9D02-E212C2D9962E.jpg?20231221135030843,Tag não encontrada,CARTV9,cartao de vacina 
100 unid - cartão de vacina apergaminhado 240g 182x102mm,233.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2CE5335B-45DC-4FC3-A3E2-0626F145195E.jpg?20231221135031200,Tag não encontrada,CARTV10,cartao de vacina 
05 unid - cartão de vacina apergaminhado 180g 182x153mm,36.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F244B11C-5386-4D0E-AC30-A9D3599F7116.jpg?20231221135026100,Tag não encontrada,CARTV1C,cartao de vacina 
10 unid - cartão de vacina apergaminhado 180g 182x153mm,42.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3626AE8D-F015-4F4E-AD0F-990446293B75.jpg?20231221135026460,Tag não encontrada,CARTV2C,cartao de vacina 
25 unid - cartão de vacina apergaminhado 180g 182x153mm,68.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3DD6D833-D693-41B1-8169-9ABCF0FF0D1B.jpg?20231221135026820,Tag não encontrada,CARTV3C,cartao de vacina 
50 unid - cartão de vacina apergaminhado 180g 182x153mm,111.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F88A01D3-F585-4E96-953B-1931EA98BC38.jpg?20231221135027180,Tag não encontrada,CARTV4C,cartao de vacina 
100 unid - cartão de vacina apergaminhado 180g 182x153mm,207.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0A6906E3-7CF2-4C93-9FA0-C3931AD23798.jpg?20231221135027540,Tag não encontrada,CARTV5C,cartao de vacina 
05 unid - cartão de vacina apergaminhado 240g 182x153mm,38.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/94C360DC-C1C1-4F77-9C2C-C9A9D65BD192.jpg?20231221135031577,Tag não encontrada,CARTV1,cartao de vacina 
10 unid - cartão de vacina apergaminhado 240g 182x153mm,45.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FCCB9AEA-F3AC-4F85-8169-3176E9A8241E.jpg?20231221135031937,Tag não encontrada,CARTV2,cartao de vacina 
