Nome,Preço,Foto,Descrição,Código,Categoria
50 unid - couchê 150g 225x320mm,211.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A3E252DD-6CAA-4894-B89D-3BF7561ADA5D.jpg?20231221135037820,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",SA450,cartazes 
100 unid - couchê 150g 225x320mm,385.88,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A91A4422-FB8D-4C4E-80DD-3D365EA2F30F.jpg?20231221135038210,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",SA4100,cartazes 
200 unid - couchê 150g 225x320mm,714.4,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C0B57E4B-336B-4E5F-BE64-CB4098747727.jpg?20231221135038587,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",SA4200,cartazes 
400 unid - couchê 150g 225x320mm,1286.14,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/26F3A277-9583-42F0-9434-A7B475A2D7DF.jpg?20231221135039010,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",SA4400,cartazes 
500 unid - couchê 115g 300x400mm,942.75,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/595CFD1C-4959-4606-9116-44ADD638E6C0.jpg?20231221105158060,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14136,cartazes 
1000 unid - couchê 115g 300x400mm,1239.02,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/DF1C592E-E258-4766-8873-9337BA28440D.jpg?20231221105158483,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14137,cartazes 
500 unid - couchê 150g 300x400mm,1138.49,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/24375596-6A36-432B-8761-E7935BA5C4B4.jpg?20231221105159657,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14154,cartazes 
1000 unid - couchê 150g 300x400mm,1425.19,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4CB32A78-B2F6-4C94-BD65-A994206C8CD8.jpg?20231221105200033,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14155,cartazes 
250 unid - apergaminhado 150g 300x420mm,813.6,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BA788699-49E2-41CC-9D24-0E9FDFBA183A.jpg?20231221105155773,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14154CC,cartazes 
500 unid - apergaminhado 150g 300x420mm,920.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/88005364-0432-43CE-A2BF-B516F32D46BF.jpg?20231221105156180,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14154C,cartazes 
1000 unid - apergaminhado 150g 300x420mm,1565.19,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0917060C-209A-4B1E-8B39-E9829112DA11.jpg?20231221105156553,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14155C,cartazes 
500 unid - couchê 90g 300x420mm,732.0,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E1F72BDF-02B3-4050-8C39-559135558D56.jpg?20231221105201190,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14100,cartazes 
1000 unid - couchê 90g 300x420mm,932.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6041AF7E-98D7-473C-839A-D46D3D96D9A1.jpg?20231221105201643,"Cartazes são ótimos para divulgação de grandes festas, eventos e ações promocionais. Disponíveis em vários formatos e papéis diferentes, um deles certamente irá atender às necessidades dos seus clientes!",14101,cartazes 
