Nome,Preço,Foto,Descrição,Código,Categoria
500 unid - cartões duplo couchê 300g verniz localizado ,278.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/830FC25A-D3AC-43F0-B71E-0797F93B08D8.jpg?20231221105249397,Cartões duplo são muito procurados por aqueles que necessitam de algo maior que o cartão de visitas. Use sua criatividade e desenvolva muitos materiais com este produto!,1606,cartoes duplo 
1000 unid - cartões duplo couchê 300g verniz localizado ,346.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/ADFE1734-DF9D-4398-BD3A-DEE0D357F238.jpg?20231221105249773,Cartões duplo são muito procurados por aqueles que necessitam de algo maior que o cartão de visitas. Use sua criatividade e desenvolva muitos materiais com este produto!,1604,cartoes duplo 
500 unid - cartões duplo couchê 300g laminação fosca ,231.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5F121B48-4B06-4214-8F7C-D8890FB0A832.jpg?20231221105242817,Cartões duplo são muito procurados por aqueles que necessitam de algo maior que o cartão de visitas. Use sua criatividade e desenvolva muitos materiais com este produto!,1609,cartoes duplo 
1000 unid - cartões duplo couchê 300g laminação fosca ,299.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/70F87F9E-692D-426A-AF78-A404B4FD0CDA.jpg?20231221105243190,Cartões duplo são muito procurados por aqueles que necessitam de algo maior que o cartão de visitas. Use sua criatividade e desenvolva muitos materiais com este produto!,1603,cartoes duplo 
500 unid - cartões duplo couchê 300g hot stamping ,473.45,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/52E0B94E-A966-4DC2-884F-C065D2075ED5.jpg?20231221105242027,Cartões duplo são muito procurados por aqueles que necessitam de algo maior que o cartão de visitas. Use sua criatividade e desenvolva muitos materiais com este produto!,CDH500,cartoes duplo 
1000 unid - cartões duplo couchê 300g hot stamping ,611.15,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/992FD5B9-41C1-4F50-82E0-81E250C00877.jpg?20231221105242447,Cartões duplo são muito procurados por aqueles que necessitam de algo maior que o cartão de visitas. Use sua criatividade e desenvolva muitos materiais com este produto!,CDH1000,cartoes duplo 
50 unid - cartões duplo couchê 250g sem laminação e sem verniz uv ,39.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/93DA322C-B83A-47AC-A0E0-0D424638200B.jpg?20231221135223900,"MATÉRIA PRIMA: Couche 250G TAMANHO FINAL DO PRODUTO: 88x99mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL INFORMAÇÕES IMPORTANTES: O corte da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.Este papel não possui laminação.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE O CARTÃO DUPLO: O cartão Duplo da DelGraf é produzido com a mais alta qualidade de impressão e visa atender um mercado muito exigente. O Cartão Duplo é excelente para clientes mais exigentes e requintados.EVITE ERROS, (ARTE NÃO INCLUSA)",CDD4050,cartoes duplo 
50 unid - cartões duplo couchê 250g sem laminação e sem verniz uv ,41.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/92167F6D-9BF0-4191-997C-F056E747F04A.jpg?20231221135224290,"MATÉRIA PRIMA: Couche 250G TAMANHO FINAL DO PRODUTO: 88x99mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL INFORMAÇÕES IMPORTANTES: O corte da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.Este papel não possui laminação.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE O CARTÃO DUPLO: O cartão Duplo da DelGraf é produzido com a mais alta qualidade de impressão e visa atender um mercado muito exigente. O Cartão Duplo é excelente para clientes mais exigentes e requintados.EVITE ERROS, (ARTE NÃO INCLUSA)",CDD4150,cartoes duplo 
50 unid - cartões duplo couchê 250g sem laminação e sem verniz uv ,48.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/065728FB-F02C-4E0B-A2EF-F7FF04EC7B30.jpg?20231221135224683,"MATÉRIA PRIMA: Couche 250G TAMANHO FINAL DO PRODUTO: 88x99mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL INFORMAÇÕES IMPORTANTES: O corte da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.Este papel não possui laminação.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE O CARTÃO DUPLO: O cartão Duplo da DelGraf é produzido com a mais alta qualidade de impressão e visa atender um mercado muito exigente. O Cartão Duplo é excelente para clientes mais exigentes e requintados.EVITE ERROS, (ARTE NÃO INCLUSA)",CDD4450,cartoes duplo 
100 unid - cartões duplo couchê 250g sem laminação e sem verniz uv ,58.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3A1ABCC5-3DF1-432C-8637-F4D606481836.jpg?20231221135225060,"MATÉRIA PRIMA: Couche 250G TAMANHO FINAL DO PRODUTO: 88x99mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL INFORMAÇÕES IMPORTANTES: O corte da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.Este papel não possui laminação.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE O CARTÃO DUPLO: O cartão Duplo da DelGraf é produzido com a mais alta qualidade de impressão e visa atender um mercado muito exigente. O Cartão Duplo é excelente para clientes mais exigentes e requintados.EVITE ERROS, (ARTE NÃO INCLUSA)",CDD40100,cartoes duplo 
