Nome,Preço,Foto,Descrição,Código,Categoria
06 unid - adesivo para adesivo papel 80g,18.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F8C7A3BB-DB0B-4557-B6D5-D21954FA55CA.jpg?20231221135349620,"Produtos personalizados estão sempre em alta. Não perca tempo e venda também adesivos para CDs e DVDs, ofereça para músicos, fotógrafos, eventos e muitos outros.",ABCDP1,cd e dvd 
30 unid - adesivo para adesivo papel 80g,60.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D5F5182F-5D3B-4E07-9358-51C964413880.jpg?20231221135350013,"Produtos personalizados estão sempre em alta. Não perca tempo e venda também adesivos para CDs e DVDs, ofereça para músicos, fotógrafos, eventos e muitos outros.",ABCDP5,cd e dvd 
60 unid - adesivo para adesivo papel 80g,91.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/914CE562-3A00-4F76-B8E9-131BB5EC39FA.jpg?20231221135350370,"Produtos personalizados estão sempre em alta. Não perca tempo e venda também adesivos para CDs e DVDs, ofereça para músicos, fotógrafos, eventos e muitos outros.",ABCDP10,cd e dvd 
300 unid - adesivo para adesivo papel 80g,421.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9EFA4E92-E81F-4058-AFA6-FCC9A10A201E.jpg?20231221135350747,"Produtos personalizados estão sempre em alta. Não perca tempo e venda também adesivos para CDs e DVDs, ofereça para músicos, fotógrafos, eventos e muitos outros.",ABCDP50,cd e dvd 
25 unid - encarte para dvd slim couchê 115g,77.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/22474EE8-7DDE-4B25-B584-94717CBE719B.jpg?20231221135351183,Tag não encontrada,ENDVD1C,cd e dvd 
50 unid - encarte para dvd slim couchê 115g,122.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5B978ED7-E82C-4C8D-9D6F-52EA2CC61E4C.jpg?20231221135351560,Tag não encontrada,ENDVD2C,cd e dvd 
100 unid - encarte para dvd slim couchê 115g,205.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1A336BAF-A446-43A6-A3D0-7B192F476631.jpg?20231221135351920,Tag não encontrada,ENDVD3C,cd e dvd 
250 unid - encarte para dvd slim couchê 115g,475.15,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/01CE6936-B159-4166-B4C5-9350FD828D61.jpg?20231221135352297,Tag não encontrada,ENDVD4C,cd e dvd 
25 unid - encarte para dvd couchê 115g,77.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9EB3833D-F809-49E6-861B-8B51F40AC336.jpg?20231221135352673,Tag não encontrada,ENDVD1,cd e dvd 
50 unid - encarte para dvd couchê 115g,122.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4EA3AE0C-D6C1-4E56-88C3-AA3252F9BD5E.jpg?20231221135353063,Tag não encontrada,ENDVD2,cd e dvd 
