Nome,Preço,Foto,Descrição,Código,Categoria
02 unid - 300x210mm apergaminhado 240g sem verniz,24.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/61781ADF-8828-4F4E-BD0D-8FE3A66485F9.jpg?20231221135356117,Tag não encontrada,CAP2322,certificados 
10 unid - 300x210mm apergaminhado 240g sem verniz,52.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B4EE6C14-44C9-4B34-A05C-6775F0A6A656.jpg?20231221135356477,Tag não encontrada,CAP23210,certificados 
20 unid - 300x210mm apergaminhado 240g sem verniz,95.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0BB41D02-5381-4C58-A4DD-F905A8481750.jpg?20231221135356870,Tag não encontrada,CAP23220,certificados 
50 unid - 300x210mm apergaminhado 240g sem verniz,221.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D47219C4-96DC-4706-8392-D20A2EAD4625.jpg?20231221135357260,Tag não encontrada,CAP23250,certificados 
100 unid - 300x210mm apergaminhado 240g sem verniz,407.15,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F287221D-B8B1-488B-BCDC-E1BA029A1394.jpg?20231221135357637,Tag não encontrada,CAP232100,certificados 
01 unid - 420x300mm apergaminhado 240g sem verniz,24.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EE87EB3E-89F5-4F22-ACE6-A9C40A3B0B87.jpg?20231221135407787,Tag não encontrada,CAP2431,certificados 
05 unid - 420x300mm apergaminhado 240g sem verniz,52.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9EBDAB5C-E883-4D34-AAD7-762FE4E5893C.jpg?20231221135408183,Tag não encontrada,CAP2435,certificados 
10 unid - 420x300mm apergaminhado 240g sem verniz,95.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F34D982A-39BE-41D8-B194-ED433F24E5EC.jpg?20231221135408593,Tag não encontrada,CAP24310,certificados 
25 unid - 420x300mm apergaminhado 240g sem verniz,221.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F6B696BB-CBCE-44E1-96AD-FB6BF93C0CEC.jpg?20231221135408983,Tag não encontrada,CAP24325,certificados 
50 unid - 420x300mm apergaminhado 240g sem verniz,407.15,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6090BA38-F341-4D18-B03F-DEDB6F65B6F0.jpg?20231221135409390,Tag não encontrada,CAP24350,certificados 
02 unid - 300x210mm couchê 250g sem verniz,22.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8F7AD087-CB12-44A3-87ED-1EFF96A38B0B.jpg?20231221135358010,Tag não encontrada,CC2322,certificados 
10 unid - 300x210mm couchê 250g sem verniz,44.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3DD42E63-A13D-483B-BBAC-9C9BC27DB486.jpg?20231221135358387,Tag não encontrada,CC23210,certificados 
20 unid - 300x210mm couchê 250g sem verniz,77.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6B79014B-0B23-4A45-84AD-B485912DBA8F.jpg?20231221135358763,Tag não encontrada,CC23220,certificados 
50 unid - 300x210mm couchê 250g sem verniz,172.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E7380F61-DEB0-42C3-8600-30F7A39CFCDD.jpg?20231221135359140,Tag não encontrada,CC23250,certificados 
