Nome,Preço,Foto,Descrição,Código,Categoria
25 unid - couchê 250g verniz uv total frente,43.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4F06F5B2-2C53-4FD0-BA84-EFE828278BF7.jpg?20231221133825813,Tag não encontrada,CDD025,credenciais 
25 unid - couchê 250g verniz uv total frente,55.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/CE188ED5-FD45-4E89-AB0E-9B6BB0F97434.jpg?20231221133826190,Tag não encontrada,CDD425,credenciais 
50 unid - couchê 250g verniz uv total frente,65.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/90BCFCCC-38A5-4327-90C1-43033E0BEC05.jpg?20231221133826533,Tag não encontrada,CDD050,credenciais 
50 unid - couchê 250g verniz uv total frente,87.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/07DF4E26-803D-485E-BCDF-BC3BB8BBA81A.jpg?20231221133826893,Tag não encontrada,CDD450,credenciais 
100 unid - couchê 250g verniz uv total frente,107.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3E5E08C1-73DB-400F-933B-8C4C464D6D59.jpg?20231221133827253,Tag não encontrada,CDD0100,credenciais 
100 unid - couchê 250g verniz uv total frente,149.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/777E8860-B0E6-44EB-800D-CF942B2817E5.jpg?20231221133827613,Tag não encontrada,CDD4100,credenciais 
250 unid - couchê 250g verniz uv total frente,246.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/643469A5-55B5-4847-9C82-6C77DEE8587E.jpg?20231221133827973,Tag não encontrada,CDD0250,credenciais 
250 unid - couchê 250g verniz uv total frente,347.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2ADA59D5-048B-497E-BC06-86C93FD3230B.jpg?20231221133828350,Tag não encontrada,CDD4250,credenciais 
500 unid - couchê 250g verniz uv total frente,443.68,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/895BE0EA-349E-4472-AF9E-4498A579ACC7.jpg?20231221133828727,Tag não encontrada,CDD0500,credenciais 
500 unid - couchê 250g verniz uv total frente,632.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/79F24A1E-272A-4865-998C-A2261F05B077.jpg?20231221133829087,Tag não encontrada,CDD4500,credenciais 
