Nome,Preço,Foto,Descrição,Código,Categoria
50 unid - envelope de segurança 320x400mm,277.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/695B686A-9914-4778-92E5-2E25629BC79C.jpg?20231221113456397,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 32x40cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS50C,envelopes 
100 unid - envelope de segurança 320x400mm,480.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2C2E8EC4-4772-450F-860C-81722A77F8FE.jpg?20231221113456790,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 32x40cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS100C,envelopes 
250 unid - envelope de segurança 320x400mm,1058.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D4DDDA6E-414F-4662-A27F-07F6A01D80BC.jpg?20231221113457180,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 32x40cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS250C,envelopes 
500 unid - envelope de segurança 320x400mm,1973.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/926F5832-8D17-4CA3-BF03-DA524B944E0D.jpg?20231221113457557,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 32x40cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS500C,envelopes 
1000 unid - envelope de segurança 320x400mm,3944.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E383234B-A241-4BA9-87E2-B1B101F3ABB0.jpg?20231221113457947,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 32x40cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS1000C,envelopes 
50 unid - envelope de segurança 400x500mm,359.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FB5E1D47-3390-4167-A4E3-89E4711BF2AC.jpg?20231221113458320,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 40x50cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS50,envelopes 
100 unid - envelope de segurança 400x500mm,569.48,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0A236DD0-926A-4A9C-9A9F-7057F04ACCCF.jpg?20231221113458723,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 40x50cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS100,envelopes 
250 unid - envelope de segurança 400x500mm,1212.19,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/990501EE-2448-43D3-8FE6-B375FF9F35B1.jpg?20231221113459100,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 40x50cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS250,envelopes 
500 unid - envelope de segurança 400x500mm,2338.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4479C4AD-6EA2-44B7-B1F3-4AE6BA938337.jpg?20231221113459473,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 40x50cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS500,envelopes 
1000 unid - envelope de segurança 400x500mm,4527.59,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8D2184C3-2AFB-4885-9492-D934E43E640E.jpg?20231221113459867,"MATÉRIA PRIMA: PEBD: Polietileno de Baixa Densidade 0,9G. TAMANHO FINAL DO PRODUTO: 40x50cm. aproximadamente.TIPO DE IMPRESSÃO: SILK.INFORMAÇÕES IMPORTANTES: Cor interna: PretaCor externa: BrancaFechamento: Fita Auto Colante Possui lacre anti-violação - lacre inviolável(hotmelt)SOBRE O ENVELOPE DE SEGURANÇA: O envelope de segurança é um material com finalidade para o envio seguro e sigiloso de qualquer tipo de conteúdo. Com esse produto, o parceiro não corre o risco de enviar documentos importantes, pode ser transportado com uma garantia de que não será violadoEVITE ERROS, (ARTE NÃO INCLUSA)",ENVS1000,envelopes 
10 unid - personalizados apergaminhado 90g,58.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0637952F-7DD1-4122-9FC1-D3257D30D8B1.jpg?20231221134016480,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVAL10,envelopes 
25 unid - personalizados apergaminhado 90g,122.4,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2CAC4632-86A9-4D42-808D-2FA1BF9652E9.jpg?20231221134016823,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVAL25,envelopes 
50 unid - personalizados apergaminhado 90g,233.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6AEC7797-BA88-467B-B818-0EBBB0D674C7.jpg?20231221134017203,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVAL50,envelopes 
100 unid - personalizados apergaminhado 90g,405.45,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8C239DD1-37AC-4D3B-A89C-171C0F903A36.jpg?20231221134017603,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVAL100,envelopes 
250 unid - personalizados apergaminhado 90g,629.85,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/15314009-97F8-4980-BD49-FF04DBBA8403.jpg?20231221105451297,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVAL250,envelopes 
500 unid - personalizados apergaminhado 90g,646.85,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B56FDC78-2383-4662-8F62-544484EE7182.jpg?20231221105451690,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVAL500,envelopes 
1000 unid - personalizados apergaminhado 90g,864.8,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FB255D78-179F-49E2-BFB6-19CAFBBC8668.jpg?20231221105452063,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVAL1000,envelopes 
10 unid - personalizados apergaminhado 90g,59.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/57484578-D2A2-4A25-8AB0-DA03681E8896.jpg?20231221134018040,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVC1,envelopes 
25 unid - personalizados apergaminhado 90g,123.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B80120F4-F329-4740-BA4D-3089AB693DDD.jpg?20231221134018417,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVC2,envelopes 
50 unid - personalizados apergaminhado 90g,233.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/077D8021-90C6-45CC-B771-B6B077105BA8.jpg?20231221134018810,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVC3,envelopes 
100 unid - personalizados apergaminhado 90g,417.35,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/15F5A11B-FED6-4F53-84D2-916B1DCEE830.jpg?20231221134019183,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVC4,envelopes 
250 unid - personalizados apergaminhado 90g,668.95,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/02B42360-E286-44C8-A4F8-23CBD55347EE.jpg?20231221105452437,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVC5,envelopes 
500 unid - personalizados apergaminhado 90g,715.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/222154BC-EDBF-4850-AFBD-1C1CF056E14A.jpg?20231221105452813,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",10400,envelopes 
1000 unid - personalizados apergaminhado 90g,980.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3D19120A-F29B-4740-907A-53173477C4B3.jpg?20231221105453203,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",10401,envelopes 
500 unid - personalizados reciclato 90g,3102.39,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BF1D5FBD-C83C-4D7B-9AC6-1224129B1839.jpg?20231221134025657,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",10421,envelopes 
10 unid - personalizados apergaminhado 90g,40.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EA58E953-805E-4D0C-9B62-7DF59E94DF59.jpg?20231221134019603,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVCO1,envelopes 
25 unid - personalizados apergaminhado 90g,71.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8BBEEE2A-A84F-42A0-B229-F17F91EB74A0.jpg?20231221134019993,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVCO2,envelopes 
50 unid - personalizados apergaminhado 90g,124.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7BD24977-C62A-4B8E-88A5-D203729FB0D1.jpg?20231221134020370,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVCO3,envelopes 
100 unid - personalizados apergaminhado 90g,235.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C327B145-2F73-4FB0-A4C7-1A23BE4C39DA.jpg?20231221134020780,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVCO4,envelopes 
500 unid - personalizados apergaminhado 90g,509.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/DD0A6967-A346-4097-A030-49D44CB0EEB7.jpg?20231221105453580,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",EC40500,envelopes 
1000 unid - personalizados apergaminhado 90g,680.8,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5D171830-DF98-464C-9FDD-2D06D21DD66F.jpg?20231221105453970,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",EC401000,envelopes 
500 unid - personalizados reciclato 90g,902.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FAAFDEA9-62CE-4785-9ABB-72E422EFE267.jpg?20231221134026033,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ECR40500,envelopes 
10 unid - personalizados apergaminhado 90g,59.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4E75EE47-016E-4CDB-A4FD-C8F022A4801B.jpg?20231221134021170,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVS1,envelopes 
25 unid - personalizados apergaminhado 90g,124.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D8503752-E730-40EF-B942-A0AEB4B21149.jpg?20231221134021560,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVS2,envelopes 
50 unid - personalizados apergaminhado 90g,235.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A85FB448-F78B-4B90-9BA3-A2E6271B677C.jpg?20231221134021950,"Envelopes são indispensáveis para escritórios em geral. Independente do tamanho ou papel, um desses modelos certamente irão atender as necessidades do seu cliente!",ENVS3,envelopes 
