Nome,Preço,Foto,Descrição,Código,Categoria
01 unid - estojos e nécessaires nécessaires modelo porta níquel,17.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7DE438A2-8764-494C-B1C3-B41A1CAC7C8C.jpg?20231221144616883,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 118x134mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.A cor do detalhe do corpo deve ser selecionada no acabamento. O corpo pega toda a parte de trás, não recebendo impressão neste local.A cor do corpo pode variar da cor do viés em mais de 10% em sua tonalidade.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE A NÉCESSAIRE: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA031,estojos e necessaires  
05 unid - estojos e nécessaires nécessaires modelo porta níquel,54.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/CBB676B1-7105-486E-BF34-F57832D5BC83.jpg?20231221144617253,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 118x134mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.A cor do detalhe do corpo deve ser selecionada no acabamento. O corpo pega toda a parte de trás, não recebendo impressão neste local.A cor do corpo pode variar da cor do viés em mais de 10% em sua tonalidade.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE A NÉCESSAIRE: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA032,estojos e necessaires  
10 unid - estojos e nécessaires nécessaires modelo porta níquel,108.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/51AA57EA-0578-41E1-8237-DBAE73D7F27F.jpg?20231221144617617,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 118x134mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.A cor do detalhe do corpo deve ser selecionada no acabamento. O corpo pega toda a parte de trás, não recebendo impressão neste local.A cor do corpo pode variar da cor do viés em mais de 10% em sua tonalidade.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE A NÉCESSAIRE: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA033,estojos e necessaires  
25 unid - estojos e nécessaires nécessaires modelo porta níquel,270.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E50E50BF-7360-4FF8-A3F7-813CA0958ABC.jpg?20231221144617990,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 118x134mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.A cor do detalhe do corpo deve ser selecionada no acabamento. O corpo pega toda a parte de trás, não recebendo impressão neste local.A cor do corpo pode variar da cor do viés em mais de 10% em sua tonalidade.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE A NÉCESSAIRE: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA034,estojos e necessaires  
50 unid - estojos e nécessaires nécessaires modelo porta níquel,511.68,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4C0ABC56-5B75-40AB-9E18-38E4311599E9.jpg?20231221144618350,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 118x134mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.A cor do detalhe do corpo deve ser selecionada no acabamento. O corpo pega toda a parte de trás, não recebendo impressão neste local.A cor do corpo pode variar da cor do viés em mais de 10% em sua tonalidade.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE A NÉCESSAIRE: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA035,estojos e necessaires  
100 unid - estojos e nécessaires nécessaires modelo porta níquel,902.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/65D324C1-5533-48B6-B585-856AB04AA9F7.jpg?20231221144618697,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 118x134mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.A cor do detalhe do corpo deve ser selecionada no acabamento. O corpo pega toda a parte de trás, não recebendo impressão neste local.A cor do corpo pode variar da cor do viés em mais de 10% em sua tonalidade.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE A NÉCESSAIRE: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA036,estojos e necessaires  
01 unid - estojos e nécessaires estojos modelo porta óculos,38.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/29E79CD8-DE1D-47EB-BE7B-2BED6EC4BA25.jpg?20231221144606693,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 208x119mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE O ESTOJO: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Óticas
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA007,estojos e necessaires  
05 unid - estojos e nécessaires estojos modelo porta óculos,160.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A5B4B780-3A5B-4BDC-A499-4FF8DA9BE877.jpg?20231221144607087,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 208x119mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE O ESTOJO: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Óticas
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA008,estojos e necessaires  
10 unid - estojos e nécessaires estojos modelo porta óculos,311.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1FDF9E35-4585-46F3-B203-D64813AB5CE6.jpg?20231221144607477,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 208x119mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE O ESTOJO: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Óticas
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA009,estojos e necessaires  
25 unid - estojos e nécessaires estojos modelo porta óculos,681.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D761570A-B04A-4E23-931C-B8AE0025B99D.jpg?20231221144607853,"MATÉRIA PRIMA: OXFORD E NYLON TAMANHO FINAL DO PRODUTO: 208x119mm aproximadamente.TIPO DE IMPRESSÃO: SUBLIMAÇÃO INFORMAÇÕES IMPORTANTES: Fonte mínima: Corpo 6 / Espessura de 0,1mm.A cor do zíper deve ser selecionada no acabamento.O cursor é padrão e enviado na cor prata.Pode haver variação na cor do Zíper de até 10%.Leia o PDF DICAS que está dentro do gabarito deste produto para entender melhor a montagem do material.SOBRE O ESTOJO: Útil pela sua praticidade e organização de objetos, este é um produto quase que indispensável para o dia a dia. Produzidas em diversos modelos pela Zap, as bolsas, estojos e necessaires possuem fecho que reforça a resistência do material. 
Este é um brinde essencial para ser oferecido em:
- Salões de beleza
- Barbearias
- Agências de viagens
- Escolas
- Faculdades
- Academias
- Óticas
- Entre outrosEVITE ERROS, (ARTE NÃO INCLUSA)",DAVILA010,estojos e necessaires  
