Nome,Preço,Foto,Descrição,Código,Categoria
500 unid - apergaminhado 180g 105x150mm,165.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/72D8C0A9-0965-4D9B-9BE9-AF7B17F06275.jpg?20231221134028690,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x0.",FAP18001,ficha 
500 unid - apergaminhado 180g 105x150mm,178.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/62E3871A-4FAD-4E43-A2A1-AEAC6A2A0EC9.jpg?20231221134029050,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x1.",FAP18007,ficha 
500 unid - apergaminhado 180g 105x150mm,305.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F038AFA7-EEF3-4FEA-B8CC-1642A8EC3587.jpg?20231221134029400,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18001C,ficha 
500 unid - apergaminhado 180g 105x150mm,421.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A231008F-FB6F-4101-8506-10633143145C.jpg?20231221134029753,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18007C,ficha 
1000 unid - apergaminhado 180g 105x150mm,320.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BCAF6064-6671-4C39-B06A-4770D63A8C1D.jpg?20231221134030113,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x0.",FAP18002,ficha 
1000 unid - apergaminhado 180g 105x150mm,343.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B7281C8F-EDAB-41E4-8633-D97BB808188B.jpg?20231221134030457,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x1.",FAP18008,ficha 
1000 unid - apergaminhado 180g 105x150mm,564.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D41C5D30-EE26-42D2-A575-BFA8DFA2FEDF.jpg?20231221134030817,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18002C,ficha 
1000 unid - apergaminhado 180g 105x150mm,782.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EBC19C72-1124-4095-B123-BAE576752283.jpg?20231221134031160,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18008C,ficha 
500 unid - apergaminhado 180g 150x210mm,298.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/34CB4731-513E-4FC5-A875-0000A7E52B3A.jpg?20231221134031520,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x0.",FAP18003,ficha 
500 unid - apergaminhado 180g 150x210mm,309.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/43E2CEE2-3D70-4005-8689-59CCE7E5C8CC.jpg?20231221134031910,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x1.",FAP18009,ficha 
500 unid - apergaminhado 180g 150x210mm,630.68,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/90D569F5-82B9-49E0-8E33-6A7AD55F14F4.jpg?20231221134032307,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18003C,ficha 
500 unid - apergaminhado 180g 150x210mm,875.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/CE98440D-96CA-4BB8-A324-28ADCD75BF82.jpg?20231221134032673,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18009C,ficha 
1000 unid - apergaminhado 180g 150x210mm,553.35,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B6DBFB9E-E0F1-428C-AE1E-E42212CBC235.jpg?20231221134033067,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x0.",FAP18004,ficha 
1000 unid - apergaminhado 180g 150x210mm,575.45,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D5B9F4B4-030A-4EED-9066-B86DB0D88D40.jpg?20231221134033423,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x1.",FAP18010,ficha 
1000 unid - apergaminhado 180g 150x210mm,1100.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9FEB9353-27E2-4893-9E4F-6CD235E1DFFD.jpg?20231221134033800,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18004C,ficha 
1000 unid - apergaminhado 180g 150x210mm,1521.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/70A53DF4-3967-4391-9B2A-30D5BCE1E469.jpg?20231221134034193,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18010C,ficha 
500 unid - apergaminhado 180g 300x210mm,553.35,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/79E35958-A4C0-4997-BBDD-1206FF9CA5BC.jpg?20231221134034583,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x0.",FAP18005,ficha 
500 unid - apergaminhado 180g 300x210mm,575.45,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5E195995-D92A-4382-A710-4F1489BE11A9.jpg?20231221134035007,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x1.",FAP18011,ficha 
500 unid - apergaminhado 180g 300x210mm,1100.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/73654FF0-1779-4C4D-97AD-F973E82F92F7.jpg?20231221134035397,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18005C,ficha 
500 unid - apergaminhado 180g 300x210mm,1521.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C5622655-3E1F-400D-B6E9-11960444E571.jpg?20231221134035787,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18011C,ficha 
1000 unid - apergaminhado 180g 300x210mm,965.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3E5CEFD6-1146-47BD-8BA5-986F812C0BAA.jpg?20231221134036193,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x0.",FAP18006,ficha 
1000 unid - apergaminhado 180g 300x210mm,1004.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1952D728-78BD-4374-8255-627F3919CAC2.jpg?20231221134036583,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento. A Impressão deste produto é realizada somente com tinta preta 1x1.",FAP18012,ficha 
1000 unid - apergaminhado 180g 300x210mm,2043.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/08A0838B-BE40-4207-8A37-60AFDE2EF7C9.jpg?20231221134036990,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18006C,ficha 
1000 unid - apergaminhado 180g 300x210mm,3032.39,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7A8826EB-E031-4F99-B00D-94161DDF7B91.jpg?20231221134037397,"Fichas são essenciais para controle de dentistas, consultório, academias e empresas do segmento. Um produto simples, mas com muita qualidade, as fichas podem render muitas vendas e ótimo faturamento.",FAP18012C,ficha 
