Nome,Preço,Foto,Descrição,Código,Categoria
100 unid - couchê 115g sem verniz,92.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/546B3190-7218-42AF-8422-D08E4713C84D.jpg?20231221134045827,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",P1540100,filipetas 
100 unid - couchê 115g sem verniz,105.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FF942F41-FFEA-4EA8-B161-EFA727377856.jpg?20231221134046230,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",P1541100,filipetas 
100 unid - couchê 115g sem verniz,143.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EF903AC2-5DEF-41A0-BAE9-AA78C635D1E1.jpg?20231221134046640,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",P1544100,filipetas 
200 unid - couchê 115g sem verniz,169.2,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2CEEB74B-860B-470F-9B74-54A9EDD573ED.jpg?20231221134047020,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",P1540200,filipetas 
200 unid - couchê 115g sem verniz,192.6,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0D98C315-F6F4-4AF3-9125-CDE3E910E519.jpg?20231221134047393,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",P1541200,filipetas 
200 unid - couchê 115g sem verniz,270.0,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1F6E424F-DC95-4FF1-B799-70459FB5530B.jpg?20231221134047810,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",P1544200,filipetas 
1000 unid - couchê 115g sem verniz,261.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D52C670C-67A3-4152-BD51-A185A7CBA591.jpg?20231221105458943,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",6102,filipetas 
1000 unid - couchê 115g sem verniz,269.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3ABEAB33-23DD-4440-9FFA-A0C7F35E932A.jpg?20231221105500493,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",6202,filipetas 
1000 unid - couchê 115g sem verniz,299.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/37B05657-6D83-4C36-876B-672D7C2929F2.jpg?20231221105502010,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",P15441M,filipetas 
2500 unid - couchê 115g sem verniz,447.08,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7F0A70B7-F2C7-4D17-A209-81EBEE005662.jpg?20231221105459337,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",6402AA,filipetas 
