Nome,Preço,Foto,Descrição,Código,Categoria
1000 unid - couchê 115g 2 dobras,920.8,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EBBA7A96-E0FC-454F-BF99-D11C69615F14.jpg?20231221105508087,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F21115,folders e mala direta 
2500 unid - couchê 115g 2 dobras,1250.62,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/160FB24F-2676-438B-A84B-33ED49B15C86.jpg?20231221105508477,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F22115,folders e mala direta 
5000 unid - couchê 115g 2 dobras,2277.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0EEE125A-0AED-4659-9A49-0124562457EB.jpg?20231221105508850,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F23115,folders e mala direta 
1000 unid - couchê 150g 2 dobras,1245.54,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E4C646D6-4E1F-4F06-A353-496A2B139C42.jpg?20231221105510337,"Os Panfletos ou Folhetos Couchê 145g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são ideiais para impressões que dependem de uma qualidade ainda maior e que exijem uma melhor reprodução de retículas e traços. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F21145,folders e mala direta 
2500 unid - couchê 150g 2 dobras,1746.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BFD206DB-4B42-4172-AC31-45E59D9783AF.jpg?20231221105510730,"Os Panfletos ou Folhetos Couchê 145g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são ideiais para impressões que dependem de uma qualidade ainda maior e que exijem uma melhor reprodução de retículas e traços. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F22145,folders e mala direta 
5000 unid - couchê 150g 2 dobras,3072.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EEAD4E84-1B94-4001-A035-1E6E995A3D7E.jpg?20231221105511087,"Os Panfletos ou Folhetos Couchê 145g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são ideiais para impressões que dependem de uma qualidade ainda maior e que exijem uma melhor reprodução de retículas e traços. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F23145,folders e mala direta 
1000 unid - couchê 115g 3 dobras,665.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/667B1C03-D776-4015-B6CC-1C132E26C070.jpg?20231221105509227,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F31115,folders e mala direta 
2500 unid - couchê 115g 3 dobras,1040.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/46181533-BE1B-4F85-8A3B-5F365D230A7C.jpg?20231221105509603,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F3115,folders e mala direta 
5000 unid - couchê 115g 3 dobras,1721.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/053A63E1-FE17-4DC6-9202-5C0AAB0C2CF3.jpg?20231221105509963,"Os Panfletos ou Folhetos Couchê 115g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F33115,folders e mala direta 
1000 unid - couchê 150g 3 dobras,800.8,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9837A91F-1A8F-4C86-8755-B7B67A478E67.jpg?20231221105511463,"Os Panfletos ou Folhetos Couchê 150g sem Verniz da DelGraf são produzidos com a mais alta qualidade na impressão e visa atender um mercado muito exigente. Eles são perfeitos para a publicidade de um produto, orientação para locais ou até mesmo exposição de qualquer tipo de trabalho ou pessoas. Preço justo, qualidade e rapidez na entrega você encontra só aqui. Entregamos em todo Brasil.",F31150,folders e mala direta 
