Nome,Preço,Foto,Descrição,Código,Categoria
01 unid - apergaminhado ap150g,9.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B3238613-0B1D-48F0-B547-E11AC625B92D.jpg?20231221134058630,"MATÉRIA PRIMA: Papel Apergaminhado 150g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES:A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material. O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA1841C,folhas avulsas 
01 unid - apergaminhado ap150g,11.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/AE3AED8D-3020-44F6-8100-628FE20589C6.jpg?20231221134059003,"MATÉRIA PRIMA: Papel Apergaminhado 150g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES: A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material.O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA18441C,folhas avulsas 
05 unid - apergaminhado ap150g,26.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6F3EA8D8-7316-471F-9809-B985D87C68C5.jpg?20231221134059397,"MATÉRIA PRIMA: Papel Apergaminhado 150g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES:A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material. O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA1845C,folhas avulsas 
05 unid - apergaminhado ap150g,37.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1A50097E-3719-4FE5-8FE4-2BA01E70E32F.jpg?20231221134059803,"MATÉRIA PRIMA: Papel Apergaminhado 150g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES: A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material.O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA18445C,folhas avulsas 
10 unid - apergaminhado ap150g,43.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9E06FA27-3D3C-4F80-84C0-2FCD5E76D767.jpg?20231221134100180,"MATÉRIA PRIMA: Papel Apergaminhado 150g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES:A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material.O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA18410C,folhas avulsas 
10 unid - apergaminhado ap150g,64.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/15BB25BB-474C-4D4F-A363-880474EEDD54.jpg?20231221134100540,"MATÉRIA PRIMA: Papel Apergaminhado 150g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES:A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material. O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite.A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA184410CO,folhas avulsas 
01 unid - apergaminhado ap180g,9.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F8BAC084-3E5C-44CF-909C-1C0DA9863293.jpg?20231221134100947,"MATÉRIA PRIMA: Papel Apergaminhado 180g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES:A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material.O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite. A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA1841,folhas avulsas 
01 unid - apergaminhado ap180g,11.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/CC0B6CD6-146B-487A-882B-EDCB86FCD1A3.jpg?20231221134101337,"MATÉRIA PRIMA: Papel Apergaminhado 180g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES:A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material.O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite. A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA18441,folhas avulsas 
05 unid - apergaminhado ap180g,26.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/05A8527B-1146-48EE-A3F1-E9357AAD1BB0.jpg?20231221134101743,"MATÉRIA PRIMA: Papel Apergaminhado 180g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES:A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material.O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite. A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA1845,folhas avulsas 
05 unid - apergaminhado ap180g,37.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/76624B73-ED32-4E72-BA4E-6E36DD5CD451.jpg?20231221134102103,"MATÉRIA PRIMA: Papel Apergaminhado 180g.TAMANHO FINAL DO PRODUTO: 330x480mm aproximadamente.TIPO DE IMPRESSÃO: DIGITAL.INFORMAÇÕES IMPORTANTES:A variação no corte da Folha Avulsa pode chegar até 1,5mm. Não indicamos cortes menores que 3mm, pois, a variação ficará visível no material.O corte especial da impressão Digital é realizado no LASER, as extremidades do produto ficam escuras devido ao calor que o Laser emite. A folha possui uma borda branca padronizada de 10mm aproximadamente em cada lado.SOBRE O PAPEL AP: O Apergaminhado, também conhecido como papel Sulfite, é um papel de baixo custo projetado para desenhos de linhas de resolução nítida e impressões em cores de alto contraste.Ele é produzido com celulose branqueada, juntando carga mineral, à volta de 10 a 15% de cinzas, bem colado, com acabamento liso, para uso comercial e industrial com as mais variadas finalidades, principalmente de escrita, tais como, cadernos, envelopes, blocos, timbrados, mas também para impressos em geral, formulários contínuos, etc.EVITE ERROS, (ARTE NÃO INCLUSA)",FA18445,folhas avulsas 
