Nome,Preço,Foto,Descrição,Código,Categoria
500 unid - couchê 75g 400x300mm,737.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C02BCA17-1FB1-44A7-8CD6-58E1D2361EB0.jpg?20231221105513860,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",FBA41,forro de bandeja 
1000 unid - couchê 75g 400x300mm,968.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/65C520D2-6420-46BD-9796-2A9A78F40A29.jpg?20231221105514313,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",FBA42,forro de bandeja 
2500 unid - couchê 75g 400x300mm,1677.19,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/ABBE3236-D83B-4457-9BD8-4D09F5515CFD.jpg?20231221105514673,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",FBA45,forro de bandeja 
5000 unid - couchê 75g 400x300mm,3344.59,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/328023CF-C9C0-48FA-A6AB-EEA490B2193F.jpg?20231221105515047,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",FBA410,forro de bandeja 
10000 unid - couchê 75g 400x300mm,6680.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/68A9D3C3-3FC6-4F54-A363-3F5B4AFBEBA9.jpg?20231221105515410,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",P8012,forro de bandeja 
250 unid - apergaminhado 150g 420x300mm,917.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/475436D2-CF63-4E23-B0E3-FB0EE32A74E2.jpg?20231221105512610,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F15040250,forro de bandeja 
500 unid - apergaminhado 150g 420x300mm,1160.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6AB4E03D-CF00-4B40-B169-C19DE8E8FDD3.jpg?20231221105513000,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F15040500,forro de bandeja 
1000 unid - apergaminhado 150g 420x300mm,1957.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F13A11DD-1302-4BA7-BDE0-0EC3DF2EB6CB.jpg?20231221105513390,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F150401000,forro de bandeja 
10 unid - apergaminhado 75g 480x330mm,21.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2C25FE42-6586-4690-AC9E-FAD6E228F723.jpg?20231221134155057,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F751010,forro de bandeja 
10 unid - apergaminhado 75g 480x330mm,59.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F951EB79-25AF-4D40-9A17-CF7451FCA0FD.jpg?20231221134155480,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F754010,forro de bandeja 
25 unid - apergaminhado 75g 480x330mm,30.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5F12F59F-8A16-4E4E-901C-99A85397EAB8.jpg?20231221134155857,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F751025,forro de bandeja 
25 unid - apergaminhado 75g 480x330mm,93.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/08F67E3E-88B9-4008-B6C9-9A71AAFF7BC8.jpg?20231221134156217,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F754025,forro de bandeja 
50 unid - apergaminhado 75g 480x330mm,55.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/186408C5-FF50-465B-BD06-A176C1FE57A3.jpg?20231221134156577,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F751050,forro de bandeja 
50 unid - apergaminhado 75g 480x330mm,178.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1682653F-E46B-45DB-9910-9B5C526CA06E.jpg?20231221134156970,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F754050,forro de bandeja 
100 unid - apergaminhado 75g 480x330mm,108.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/64C08BFD-33EE-474C-85D0-51A6AAEA3EA4.jpg?20231221134157327,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F7510100,forro de bandeja 
100 unid - apergaminhado 75g 480x330mm,350.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/53723725-8FFA-4A78-8738-854F91B9ED29.jpg?20231221134157703,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F7540100,forro de bandeja 
250 unid - apergaminhado 75g 480x330mm,269.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5CA96578-1DB6-4619-AAA2-A3BB2FE163F3.jpg?20231221134158080,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F7510250,forro de bandeja 
250 unid - apergaminhado 75g 480x330mm,764.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/25EB9CFC-DC0D-459B-AF7D-F965239F9501.jpg?20231221134158470,"Forros de Bandeja são ideais para festas, recepções e eventos. Uma maneira prática, higiênica e eficaz para promover ações de empresas do ramo alimentício. Aumente sua gama de produtos e fature com os forros de bandeja!",F7540250,forro de bandeja 
