Nome,Preço,Foto,Descrição,Código,Categoria
01 unid - máscaras máscaras de prevenção protetor facial,42.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1B2A6A0B-0012-42F3-909E-E3DFE60D32BF.jpg?20231221113610870,"MATÉRIA PRIMA: Diversos.TAMANHO FINAL DO PRODUTO: 280x220mmaproximadamente.TIPO DE IMPRESSÃO: UVINFORMAÇÕES IMPORTANTES: A máscara possui as seguintes características:-Espessura do acetato: 28micras (Para produtos com impressão)-Espessura do acetato: 50micras (Para produtos sem impressão)-Proteção frontal em acetato-Almofada de testa em espuma confortável-Presilha de Elástico-Possui o tamanho da proteção frontal de: 28cm de largura x 22cm de altura-A espuma possui 16cm de comprimento por 3cm de altura e 0.028mm de espessuraATENÇÃO: Antes de usar a sua máscara, remova a película de segurança, apenas as máscaras sem impressão (50 Micras) possuem película.Para melhor acondicionamento da entrega, o produto vai com o elástico e espumas separados.A higienização desta máscara pode ser feita com um pano e álcool.Apenas pode ser lavada a cordinha que passa na cabeça.SOBRE A FACE SHIELD: A Face Shield auxilia na Proteção Total da face do Usuário. Ajuda conter o contágio de doenças transmissíveis pela saliva e fluidos nasais. Oferece proteção e conforto, aliados a um design moderno e clean. Permite conversar de forma clara.Esse produto é ideal para oferecer para clínicas de estética, hospitais, profissionais da saúde, dentistas, entre outros.EVITE ERROS, (ARTE NÃO INCLUSA)",MFFS1A,mascaras 
05 unid - máscaras máscaras de prevenção protetor facial,175.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6FF4E2C1-E1BB-474E-9BB3-40449668FC5E.jpg?20231221113611230,"MATÉRIA PRIMA: Diversos.TAMANHO FINAL DO PRODUTO: 280x220mmaproximadamente.TIPO DE IMPRESSÃO: UVINFORMAÇÕES IMPORTANTES: A máscara possui as seguintes características:-Espessura do acetato: 28micras (Para produtos com impressão)-Espessura do acetato: 50micras (Para produtos sem impressão)-Proteção frontal em acetato-Almofada de testa em espuma confortável-Presilha de Elástico-Possui o tamanho da proteção frontal de: 28cm de largura x 22cm de altura-A espuma possui 16cm de comprimento por 3cm de altura e 0.028mm de espessuraATENÇÃO: Antes de usar a sua máscara, remova a película de segurança, apenas as máscaras sem impressão (50 Micras) possuem película.Para melhor acondicionamento da entrega, o produto vai com o elástico e espumas separados.A higienização desta máscara pode ser feita com um pano e álcool.Apenas pode ser lavada a cordinha que passa na cabeça.SOBRE A FACE SHIELD: A Face Shield auxilia na Proteção Total da face do Usuário. Ajuda conter o contágio de doenças transmissíveis pela saliva e fluidos nasais. Oferece proteção e conforto, aliados a um design moderno e clean. Permite conversar de forma clara.Esse produto é ideal para oferecer para clínicas de estética, hospitais, profissionais da saúde, dentistas, entre outros.EVITE ERROS, (ARTE NÃO INCLUSA)",MFFS5A,mascaras 
10 unid - máscaras máscaras de prevenção protetor facial,343.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7D569B95-1213-4C52-B810-E3AA9D105385.jpg?20231221113611623,"MATÉRIA PRIMA: Diversos.TAMANHO FINAL DO PRODUTO: 280x220mmaproximadamente.TIPO DE IMPRESSÃO: UVINFORMAÇÕES IMPORTANTES: A máscara possui as seguintes características:-Espessura do acetato: 28micras (Para produtos com impressão)-Espessura do acetato: 50micras (Para produtos sem impressão)-Proteção frontal em acetato-Almofada de testa em espuma confortável-Presilha de Elástico-Possui o tamanho da proteção frontal de: 28cm de largura x 22cm de altura-A espuma possui 16cm de comprimento por 3cm de altura e 0.028mm de espessuraATENÇÃO: Antes de usar a sua máscara, remova a película de segurança, apenas as máscaras sem impressão (50 Micras) possuem película.Para melhor acondicionamento da entrega, o produto vai com o elástico e espumas separados.A higienização desta máscara pode ser feita com um pano e álcool.Apenas pode ser lavada a cordinha que passa na cabeça.SOBRE A FACE SHIELD: A Face Shield auxilia na Proteção Total da face do Usuário. Ajuda conter o contágio de doenças transmissíveis pela saliva e fluidos nasais. Oferece proteção e conforto, aliados a um design moderno e clean. Permite conversar de forma clara.Esse produto é ideal para oferecer para clínicas de estética, hospitais, profissionais da saúde, dentistas, entre outros.EVITE ERROS, (ARTE NÃO INCLUSA)",MFFS10A,mascaras 
25 unid - máscaras máscaras de prevenção protetor facial,749.6,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EAC8A936-0E55-49D6-A3C6-0FBB72D0C247.jpg?20231221113612013,"MATÉRIA PRIMA: Diversos.TAMANHO FINAL DO PRODUTO: 280x220mmaproximadamente.TIPO DE IMPRESSÃO: UVINFORMAÇÕES IMPORTANTES: A máscara possui as seguintes características:-Espessura do acetato: 28micras (Para produtos com impressão)-Espessura do acetato: 50micras (Para produtos sem impressão)-Proteção frontal em acetato-Almofada de testa em espuma confortável-Presilha de Elástico-Possui o tamanho da proteção frontal de: 28cm de largura x 22cm de altura-A espuma possui 16cm de comprimento por 3cm de altura e 0.028mm de espessuraATENÇÃO: Antes de usar a sua máscara, remova a película de segurança, apenas as máscaras sem impressão (50 Micras) possuem película.Para melhor acondicionamento da entrega, o produto vai com o elástico e espumas separados.A higienização desta máscara pode ser feita com um pano e álcool.Apenas pode ser lavada a cordinha que passa na cabeça.SOBRE A FACE SHIELD: A Face Shield auxilia na Proteção Total da face do Usuário. Ajuda conter o contágio de doenças transmissíveis pela saliva e fluidos nasais. Oferece proteção e conforto, aliados a um design moderno e clean. Permite conversar de forma clara.Esse produto é ideal para oferecer para clínicas de estética, hospitais, profissionais da saúde, dentistas, entre outros.EVITE ERROS, (ARTE NÃO INCLUSA)",MFFS25A,mascaras 
50 unid - máscaras máscaras de prevenção protetor facial,1350.67,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7B6C3B16-55AF-4BD2-A28E-E90C3BEF451D.jpg?20231221113612403,"MATÉRIA PRIMA: Diversos.TAMANHO FINAL DO PRODUTO: 280x220mmaproximadamente.TIPO DE IMPRESSÃO: UVINFORMAÇÕES IMPORTANTES: A máscara possui as seguintes características:-Espessura do acetato: 28micras (Para produtos com impressão)-Espessura do acetato: 50micras (Para produtos sem impressão)-Proteção frontal em acetato-Almofada de testa em espuma confortável-Presilha de Elástico-Possui o tamanho da proteção frontal de: 28cm de largura x 22cm de altura-A espuma possui 16cm de comprimento por 3cm de altura e 0.028mm de espessuraATENÇÃO: Antes de usar a sua máscara, remova a película de segurança, apenas as máscaras sem impressão (50 Micras) possuem película.Para melhor acondicionamento da entrega, o produto vai com o elástico e espumas separados.A higienização desta máscara pode ser feita com um pano e álcool.Apenas pode ser lavada a cordinha que passa na cabeça.SOBRE A FACE SHIELD: A Face Shield auxilia na Proteção Total da face do Usuário. Ajuda conter o contágio de doenças transmissíveis pela saliva e fluidos nasais. Oferece proteção e conforto, aliados a um design moderno e clean. Permite conversar de forma clara.Esse produto é ideal para oferecer para clínicas de estética, hospitais, profissionais da saúde, dentistas, entre outros.EVITE ERROS, (ARTE NÃO INCLUSA)",MFFS50A,mascaras 
500 unid - máscaras máscaras personalizadas couchê 250g,340.85,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/47DAF8B2-64A3-4433-ADB8-90AE8C4823C7.jpg?20231221105617113,Tag não encontrada,MF405,mascaras 
1000 unid - máscaras máscaras personalizadas couchê 250g,545.68,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/0438A624-7738-4046-88EF-A1F633D60320.jpg?20231221105617527,Tag não encontrada,MF4010,mascaras 
2000 unid - máscaras máscaras personalizadas couchê 250g,903.75,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/239E9BF5-0262-48BF-9E3E-BC999FA6222C.jpg?20231221105617937,Tag não encontrada,MF4010C,mascaras 
3000 unid - máscaras máscaras personalizadas couchê 250g,1294.84,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6FDBDAD9-8CE6-4C62-9911-995E8AF20BAC.jpg?20231221105618330,Tag não encontrada,MF4010CC,mascaras 
5000 unid - máscaras máscaras personalizadas couchê 250g,2043.99,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E3235D47-DF93-4472-B7C3-3A2D3DEB8047.jpg?20231221105618707,Tag não encontrada,MF4010CCC,mascaras 
