Nome,Preço,Foto,Descrição,Código,Categoria
1000 unid - mini cartão couchê 250g verniz uv,59.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4E924DFF-58FD-4D0C-97C4-5A6CF83007CC.jpg?20231221105621037,Tag não encontrada,1724,mini cartao 
1000 unid - mini cartão couchê 250g verniz uv,66.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/92A2B604-897C-45C3-B6C8-61B5CE9163A6.jpg?20231221105621790,Tag não encontrada,1724A,mini cartao 
1000 unid - mini cartão couchê 250g verniz uv,77.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/92F4D7F8-221E-4636-A7A4-AC79C4B2225F.jpg?20231221105622540,Tag não encontrada,1724AC,mini cartao 
2000 unid - mini cartão couchê 250g verniz uv,89.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D8A47389-4382-499F-B900-F535D9CD343B.jpg?20231221105621413,Tag não encontrada,1726,mini cartao 
2000 unid - mini cartão couchê 250g verniz uv,92.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/153A8760-62AC-4355-BAC5-E3764163F739.jpg?20231221105622180,Tag não encontrada,1726A,mini cartao 
2000 unid - mini cartão couchê 250g verniz uv,105.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/03C5F3F7-4B8F-43C9-8A3F-3546108D54EA.jpg?20231221105622913,Tag não encontrada,1726AC,mini cartao 
1000 unid - mini cartão couchê 300g laminação fosca ,116.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/CE5D1D52-AC1D-40A0-BFED-CDA69DFB00D3.jpg?20231221105631240,Tag não encontrada,1714,mini cartao 
2000 unid - mini cartão couchê 300g laminação fosca ,160.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/09125DD8-8212-495A-B980-5B259AF84AE1.jpg?20231221105631633,Tag não encontrada,1715,mini cartao 
1000 unid - mini cartão couchê 300g sem laminação e sem verniz ,65.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/120944B4-343F-4E1D-BC3E-F2DFD5245F70.jpg?20231221105633527,Tag não encontrada,SV1724,mini cartao 
1000 unid - mini cartão couchê 300g sem laminação e sem verniz ,67.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/DF2742EF-8E0F-41AF-9215-48371016E9BC.jpg?20231221105634293,Tag não encontrada,SV1704,mini cartao 
