Nome,Preço,Foto,Descrição,Código,Categoria
2000 unid - couchê brilho 90g sem verniz,147.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/684E316B-FD3E-4B0E-ABE3-79DA345A84FA.jpg?20231221105649017,Tag não encontrada,PCB914,mini panfleto 
2000 unid - couchê brilho 90g sem verniz,160.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/26C397D8-0EC1-427A-91DF-703B6F28017D.jpg?20231221105650520,Tag não encontrada,PCB942,mini panfleto 
2000 unid - couchê brilho 90g sem verniz,170.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/DC9481AD-63CE-4B36-89BF-9EB62F16E56F.jpg?20231221105652040,Tag não encontrada,PCB941C,mini panfleto 
5000 unid - couchê brilho 90g sem verniz,236.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C2D0EC73-FCB9-4537-860C-A6D3E3BB0844.jpg?20231221105649377,Tag não encontrada,PCB915,mini panfleto 
5000 unid - couchê brilho 90g sem verniz,247.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/10AD818D-A341-4DF6-B95B-EA0AA9F4DCF2.jpg?20231221105650897,Tag não encontrada,PCB943,mini panfleto 
5000 unid - couchê brilho 90g sem verniz,256.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/141E7670-E8A8-4C6E-BB82-B18FB77D38ED.jpg?20231221105652430,Tag não encontrada,PCB922,mini panfleto 
10000 unid - couchê brilho 90g sem verniz,383.35,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E318F5F4-F39F-4584-966F-7FBA811D1E50.jpg?20231221105649777,Tag não encontrada,PCB916,mini panfleto 
10000 unid - couchê brilho 90g sem verniz,391.85,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E53E7BD2-B84C-42AB-BA5B-034E91BD987E.jpg?20231221105651287,Tag não encontrada,PCB944,mini panfleto 
10000 unid - couchê brilho 90g sem verniz,403.75,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2E2F6571-B084-4088-8B69-1C1A0754805B.jpg?20231221105652790,Tag não encontrada,PCB923,mini panfleto 
20000 unid - couchê brilho 90g sem verniz,685.6,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/1969E0A4-4020-449D-83B3-725F2DD4C2A5.jpg?20231221105650143,Tag não encontrada,PCB917,mini panfleto 
20000 unid - couchê brilho 90g sem verniz,746.4,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7224D5A6-44D7-4745-BBF9-53DADCC5659C.jpg?20231221105651667,Tag não encontrada,PCB945,mini panfleto 
20000 unid - couchê brilho 90g sem verniz,749.6,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/AAF80FE4-334C-492F-AC94-AE7E82F132CB.jpg?20231221105653167,Tag não encontrada,PCB924,mini panfleto 
