Nome,Preço,Foto,Descrição,Código,Categoria
01 unid - sem personalização camisas,64.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/DDCE881B-D5F5-448F-A2F5-2EB32379C854.jpg?20230927161133023,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB10V1C,outlet zap 
05 unid - sem personalização camisas,282.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7FB0F43E-9CC5-40E8-9A75-171BFF29917F.jpg?20230927161133383,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB10V5C,outlet zap 
10 unid - sem personalização camisas,525.28,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/ECC6ADF7-0611-40BA-971E-29516AC906B1.jpg?20230927161133743,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB10V10C,outlet zap 
25 unid - sem personalização camisas,1145.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FF3B2D50-04A7-4CB0-B7B7-9537C577100E.jpg?20230927161134103,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB10V25C,outlet zap 
50 unid - sem personalização camisas,2130.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/25367BDE-6338-43EC-8C2D-DF58B74C8553.jpg?20230927161134477,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB10V50C,outlet zap 
01 unid - sem personalização camisas,57.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6AF755CE-813E-4B3E-9C7D-CD102A7FD2CA.jpg?20230927161134853,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB12H1C,outlet zap 
05 unid - sem personalização camisas,246.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/28CE427F-CEFC-49EB-B341-CE360F0588CC.jpg?20230927161135213,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB12H5C,outlet zap 
10 unid - sem personalização camisas,453.88,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9792AFF9-3689-4475-8351-E6E977EFD93B.jpg?20230927161135603,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB12H10C,outlet zap 
25 unid - sem personalização camisas,989.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C9746580-DD38-414E-98D4-EE59319A9106.jpg?20230927161136027,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB12H25C,outlet zap 
50 unid - sem personalização camisas,1837.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/269E4E51-7EBF-4BCA-AA5E-9C64EFA7938D.jpg?20230927161136400,"Camisetas personalizadas são um grande atrativo para conquistar novos clientes e aumentar suas vendas! Estas camisas são produzidas em tecido 100% poliéster através de sublimação. O processo de sublimação é a transferência de impressão do papel para o tecido sintético, a tinta passa do estado sólido para o gasoso fixando perfeitamente nos fios. Produza qualquer arte que imaginar e garanta qualidade total sem perda de detalhes e efeitos no produto final. Estas camisetas são ideais para presentes como fotocamisas, uniformes, promoções e eventos, entre outros. Este tipo de impressão garante ainda alta durabilidade, podendo ser lavado várias vezes sem desbotar. Veja mais informações no PDF de dicas do gabarito.",ISPB12H50C,outlet zap 
