Nome,Preço,Foto,Descrição,Código,Categoria
1000 unid - apergaminhado 90g 150x105mm,133.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3FE857C3-BE41-450F-B211-44C06E8435F3.jpg?20231221105840460,Tag não encontrada,8102,papel timbrado 
1000 unid - apergaminhado 90g 150x105mm,178.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/166C32C5-106F-4FD8-A839-000DC4F072E6.jpg?20231221105842017,Tag não encontrada,81024,papel timbrado 
2500 unid - apergaminhado 90g 150x105mm,254.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B09246FE-7D64-4A93-BFCD-B2EAF379C089.jpg?20231221105840880,Tag não encontrada,8103,papel timbrado 
2500 unid - apergaminhado 90g 150x105mm,287.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/457C7831-21C4-467C-BA2A-20EA575214F7.jpg?20231221105842423,Tag não encontrada,81034,papel timbrado 
5000 unid - apergaminhado 90g 150x105mm,442.85,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/7D7A4BFE-BB1F-43D7-A85C-9BD476925FA2.jpg?20231221105841250,Tag não encontrada,8104,papel timbrado 
5000 unid - apergaminhado 90g 150x105mm,498.95,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/69A0BE74-E638-4EE0-BB78-EBC9222BEFE4.jpg?20231221105842777,Tag não encontrada,81044,papel timbrado 
10000 unid - apergaminhado 90g 150x105mm,824.8,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B86C693A-78F9-45A0-A748-F6C514393B78.jpg?20231221105841627,Tag não encontrada,8105,papel timbrado 
10000 unid - apergaminhado 90g 150x105mm,932.0,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E53D5DF7-5CE3-47D2-B3C8-979797136C08.jpg?20231221105843167,Tag não encontrada,81054,papel timbrado 
250 unid - apergaminhado 150g 150x105mm,124.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5CA9BDE7-8688-4C4C-BCD0-D2D66396AB6A.jpg?20231221105851500,Tag não encontrada,TDAP250C,papel timbrado 
500 unid - apergaminhado 150g 150x105mm,168.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6657CA64-3510-48F3-9594-E509D3A0ED2E.jpg?20231221105851860,Tag não encontrada,8102CO,papel timbrado 
1000 unid - apergaminhado 150g 150x105mm,278.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9CB41C8A-DB2C-48A2-8AFE-A5956CC323A7.jpg?20231221105852250,Tag não encontrada,8103C,papel timbrado 
50 unid - reciclato 90g 150x105mm,191.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/30191D66-2502-4EC2-BBF5-2E041EB8A494.jpg?20231221134550717,Tag não encontrada,TDRC50,papel timbrado 
50 unid - reciclato 90g 150x105mm,314.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D45B05FB-FF65-4062-9DF2-84D1CA857C11.jpg?20231221134551110,Tag não encontrada,TDRC50C,papel timbrado 
100 unid - reciclato 90g 150x105mm,344.25,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/AC53FA5B-B2C9-402D-9C21-3ED0A32E72CF.jpg?20231221134551470,Tag não encontrada,TDRC100,papel timbrado 
100 unid - reciclato 90g 150x105mm,573.75,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/196473D1-2B30-49FA-A631-082A2BFB15FF.jpg?20231221134551830,Tag não encontrada,TDRC100C,papel timbrado 
250 unid - reciclato 90g 150x105mm,780.0,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2F535F27-C7F3-432E-B4D0-0600206ADAF9.jpg?20231221134552237,Tag não encontrada,TDRC250,papel timbrado 
250 unid - reciclato 90g 150x105mm,1195.52,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/093E1C4B-B97E-4304-BE56-5E6AB33E1875.jpg?20231221134552597,Tag não encontrada,TDRC250C,papel timbrado 
