Nome,Preço,Foto,Descrição,Código,Categoria
05 unid - couchê 250g bolsa colada ,54.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/746C7ECA-CE88-4101-AFC3-BB534724F456.jpg?20240103111736000,"MATÉRIA PRIMA: Couche 250g TAMANHO FINAL DO PRODUTO ABERTO: 440x310mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 220x310mm aproximadamente.TIPO DE IMPRESSÃO: DIGITALINFORMAÇÕES IMPORTANTES: A bolsa colada é padronizada e seu tamanho é de 19x12cm aproximadamente. A bolsa colada possui encaixe para um cartão de visita padrão.EVITE ERROS, (ARTE NÃO INCLUSA)",PD06,pastas 
10 unid - couchê 250g bolsa colada ,92.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B94364EF-87A7-44B1-9248-804CB48D300F.jpg?20240103111810000,"MATÉRIA PRIMA: Couche 250g TAMANHO FINAL DO PRODUTO ABERTO: 440x310mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 220x310mm aproximadamente.TIPO DE IMPRESSÃO: DIGITALINFORMAÇÕES IMPORTANTES: A bolsa colada é padronizada e seu tamanho é de 19x12cm aproximadamente. A bolsa colada possui encaixe para um cartão de visita padrão.EVITE ERROS, (ARTE NÃO INCLUSA)",PD07,pastas 
25 unid - couchê 250g bolsa colada ,212.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/6C7B66EA-B09F-434D-909E-F8A269CFBF90.jpg?20240103111745000,"MATÉRIA PRIMA: Couche 250g TAMANHO FINAL DO PRODUTO ABERTO: 440x310mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 220x310mm aproximadamente.TIPO DE IMPRESSÃO: DIGITALINFORMAÇÕES IMPORTANTES: A bolsa colada é padronizada e seu tamanho é de 19x12cm aproximadamente. A bolsa colada possui encaixe para um cartão de visita padrão.EVITE ERROS, (ARTE NÃO INCLUSA)",PD08,pastas 
50 unid - couchê 250g bolsa colada ,385.88,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FFCC8567-2973-4457-8884-45DD028078A3.jpg?20240103111812000,"MATÉRIA PRIMA: Couche 250g TAMANHO FINAL DO PRODUTO ABERTO: 440x310mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 220x310mm aproximadamente.TIPO DE IMPRESSÃO: DIGITALINFORMAÇÕES IMPORTANTES: A bolsa colada é padronizada e seu tamanho é de 19x12cm aproximadamente. A bolsa colada possui encaixe para um cartão de visita padrão.EVITE ERROS, (ARTE NÃO INCLUSA)",PD09,pastas 
100 unid - couchê 250g bolsa colada ,714.4,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/81F61745-3468-4675-93C5-5F6C77C68771.jpg?20240103111752000,"MATÉRIA PRIMA: Couche 250g TAMANHO FINAL DO PRODUTO ABERTO: 440x310mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 220x310mm aproximadamente.TIPO DE IMPRESSÃO: DIGITALINFORMAÇÕES IMPORTANTES: A bolsa colada é padronizada e seu tamanho é de 19x12cm aproximadamente. A bolsa colada possui encaixe para um cartão de visita padrão.EVITE ERROS, (ARTE NÃO INCLUSA)",PD10,pastas 
250 unid - couchê 250g bolsa colada ,1545.59,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B15C5997-3F6B-4C47-8A94-5C9B85426E30.jpg?20240103111807000,"MATÉRIA PRIMA: Couche 250g TAMANHO FINAL DO PRODUTO ABERTO: 440x310mm aproximadamente.TAMANHO FINAL DO PRODUTO FECHADO: 220x310mm aproximadamente.TIPO DE IMPRESSÃO: DIGITALINFORMAÇÕES IMPORTANTES: A bolsa colada é padronizada e seu tamanho é de 19x12cm aproximadamente. A bolsa colada possui encaixe para um cartão de visita padrão.EVITE ERROS, (ARTE NÃO INCLUSA)",PD10C,pastas 
05 unid - couchê 250g orelha com janela ,49.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F7C07912-D68D-45C0-AE17-FBC56B02C831.jpg?20231221134612777,Tag não encontrada,PLB2755,pastas 
10 unid - couchê 250g orelha com janela ,86.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/80E5E81F-3249-4DBB-923F-EF4E5A31C897.jpg?20231221134613140,Tag não encontrada,PLB27510,pastas 
25 unid - couchê 250g orelha com janela ,196.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/8C12CE18-052C-4843-9ABD-10497EFECB97.jpg?20231221134613530,Tag não encontrada,PLB27525,pastas 
50 unid - couchê 250g orelha com janela ,356.15,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/79825C5F-BD25-4EDE-8A5B-00AA32FA5E8D.jpg?20231221134613890,Tag não encontrada,PLB27550,pastas 
