Nome,Pre�o,Foto,Descri��o,C�digo,Categoria
500 unid - porta copos couch� 300g lamina��o fosca ,214.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/2107227D-0418-47AB-9A89-7169419400EA.jpg?20231221110025077,Tag n�o encontrada,PCLF5,porta copos 
1000 unid - porta copos couch� 300g lamina��o fosca ,355.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3CFBB37A-76B6-4E4B-970C-6F7869C53584.jpg?20231221110025437,Tag n�o encontrada,PCLF1,porta copos 
500 unid - porta copos couch� 250g verniz uv ,138.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/885858CC-78F2-4688-BAEA-17CC3489D4B6.jpg?20231221110019270,Tag n�o encontrada,PC2405,porta copos 
500 unid - porta copos couch� 250g verniz uv ,165.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F16B3423-6B65-41BC-906D-76C14B8266A4.jpg?20231221110021163,Tag n�o encontrada,PC2415,porta copos 
500 unid - porta copos couch� 250g verniz uv ,170.98,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C10EF4AB-EAF5-4B74-913B-7B1459F34094.jpg?20231221110023137,Tag n�o encontrada,PC2445,porta copos 
1000 unid - porta copos couch� 250g verniz uv ,200.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B1A5F6D5-386D-4608-A2A4-A01563874B5A.jpg?20231221110019660,Tag n�o encontrada,PC2401,porta copos 
1000 unid - porta copos couch� 250g verniz uv ,236.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/752E117E-8247-477D-8DA7-5C656F13C7D5.jpg?20231221110021540,Tag n�o encontrada,PC2411,porta copos 
1000 unid - porta copos couch� 250g verniz uv ,242.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B940E22A-51B4-44B0-A7D6-9B4CB6D38EC0.jpg?20231221110023527,Tag n�o encontrada,PC2441,porta copos 
2000 unid - porta copos couch� 250g verniz uv ,376.55,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4224EE0C-32D2-4FB7-A92C-26939F216C8A.jpg?20231221110020037,Tag n�o encontrada,PC2401C,porta copos 
2000 unid - porta copos couch� 250g verniz uv ,393.55,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B550938F-42A8-4B42-AFDC-9666A5AF1BE6.jpg?20231221110021933,Tag n�o encontrada,PC2411C,porta copos 
2000 unid - porta copos couch� 250g verniz uv ,403.75,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/32B12221-F295-41D1-82D2-C7E9ECAC293E.jpg?20231221110023920,Tag n�o encontrada,PC2441CA,porta copos 
3000 unid - porta copos couch� 250g verniz uv ,561.85,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/596361E9-F928-4BD8-AE79-32C202AF3C01.jpg?20231221110020410,Tag n�o encontrada,PC2401CC,porta copos 
3000 unid - porta copos couch� 250g verniz uv ,573.75,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3332A576-1CFC-418B-BEBB-A4F226BD3494.jpg?20231221110022340,Tag n�o encontrada,PC2411CC,porta copos 
3000 unid - porta copos couch� 250g verniz uv ,590.75,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/D4D3F141-51B3-4A47-8FC0-B2C788B85C74.jpg?20231221110024310,Tag n�o encontrada,PC2441CAC,porta copos 
5000 unid - porta copos couch� 250g verniz uv ,846.38,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BFFC3699-56C0-47DA-BD5F-1ABDE9B3A98C.jpg?20231221110020787,Tag n�o encontrada,PC2401CCC,porta copos 
5000 unid - porta copos couch� 250g verniz uv ,867.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/02E54148-FA5C-4ED6-BA07-EDCEC789ACFE.jpg?20231221110022713,Tag n�o encontrada,PC2411CCC,porta copos 
5000 unid - porta copos couch� 250g verniz uv ,892.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/5B01F4E9-79BB-44F2-BC53-6CA7AEED338B.jpg?20231221110024687,Tag n�o encontrada,PC2441CACC,porta copos 
