Nome,Preço,Foto,Descrição,Código,Categoria
500 unid - couchê 250g verniz uv ,358.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FE5B6ED9-94AB-4F9D-9CC5-4FDB4E181D07.jpg?20231221110025827,Tag não encontrada,P42550,postais 
500 unid - couchê 250g verniz uv ,358.68,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FCE0337F-F809-41E5-A4DF-458B23E9ACB9.jpg?20231221110027770,Tag não encontrada,P42551,postais 
500 unid - couchê 250g verniz uv ,375.68,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C9C6FD58-1787-46E7-B0A7-1893D1621690.jpg?20231221110029680,Tag não encontrada,P25051,postais 
1000 unid - couchê 250g verniz uv ,563.55,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/024F6EBB-7A74-486F-9F6B-CCEEDC4BC8B9.jpg?20231221110026220,Tag não encontrada,P250M0,postais 
1000 unid - couchê 250g verniz uv ,563.55,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3C5AFC13-6545-40DF-9619-4A3C09C267D9.jpg?20231221110028160,Tag não encontrada,P250M1,postais 
1000 unid - couchê 250g verniz uv ,585.65,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EC3D3473-28A9-41E7-BF2B-6628D2749AED.jpg?20231221110030070,Tag não encontrada,P25050,postais 
2000 unid - couchê 250g verniz uv ,943.49,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F589BA23-A44D-4D07-A1AC-D64685700A49.jpg?20231221110026640,Tag não encontrada,P1550,postais 
2000 unid - couchê 250g verniz uv ,961.49,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C0469FD5-67C6-4A95-80C6-FC753DAACFCA.jpg?20231221110028537,Tag não encontrada,P1551,postais 
2000 unid - couchê 250g verniz uv ,1000.49,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/87E40138-101D-4515-99A0-77FACFA56FB1.jpg?20231221110030460,Tag não encontrada,P155044,postais 
3000 unid - couchê 250g verniz uv ,1413.74,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C3E72AC8-DCC7-450F-9CB9-9E0340E645BF.jpg?20231221110027017,Tag não encontrada,P250M0C,postais 
