Nome,Preço,Foto,Descrição,Código,Categoria
01 unid - produtos para festa painel para festa tecido oxford,256.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/101E4F04-D009-48B5-AC8F-394F23FB0AE4.jpg?20231221113618753,"A composição do tecido Oxford é 100% nylon poliéster, por isso não amassa com facilidade, é fino, macio, leve e possui a versatilidade ideal para utilização em bandeiras, proporcionando brilho, balanço e beleza. As bandeiras produzidas em tecido Oxford são extremamente resistente, de extensa durabilidade, ótima qualidade e muito elegantes. Além disso, não desbota facilmente, e podem ser utilizadas em aplicações tanto internas quanto externas.",PFI140180,produtos para festa  
20 unid - produtos para festa adesivo para latinha adesivo papel 80g,18.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/C0BCAE4F-A22A-4F41-A4DC-ECEBB61D657D.jpg?20231221135206560,Tag não encontrada,APL120,produtos para festa  
40 unid - produtos para festa adesivo para latinha adesivo papel 80g,20.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/E32FB9A4-4780-41B0-9C48-BC4A799FBFB9.jpg?20231221135206920,Tag não encontrada,APL140,produtos para festa  
60 unid - produtos para festa adesivo para latinha adesivo papel 80g,24.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/FC746BB8-58F7-4CE1-B41F-C10F2D23A252.jpg?20231221135207280,Tag não encontrada,APL160,produtos para festa  
80 unid - produtos para festa adesivo para latinha adesivo papel 80g,27.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/B9BFC257-B20D-4498-AC21-7418544490A6.jpg?20231221135207640,Tag não encontrada,APL180,produtos para festa  
100 unid - produtos para festa adesivo para latinha adesivo papel 80g,31.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/12718BE4-D229-42EB-ACE9-26EED2120DA6.jpg?20231221135207983,Tag não encontrada,APL1100,produtos para festa  
24 unid - produtos para festa adesivo para marmitinha adesivo papel 80g,29.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/487F153B-8E79-4473-89A9-416DE3CC519B.jpg?20231221135208360,Tag não encontrada,APM124,produtos para festa  
48 unid - produtos para festa adesivo para marmitinha adesivo papel 80g,44.1,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/259472C1-FBF8-41FA-97C9-747418E44872.jpg?20231221135208720,Tag não encontrada,APM148,produtos para festa  
72 unid - produtos para festa adesivo para marmitinha adesivo papel 80g,70.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/18AFC75C-5E79-4D31-AF1B-01EDCBAC6DF6.jpg?20231221135209110,Tag não encontrada,APM172,produtos para festa  
96 unid - produtos para festa adesivo para marmitinha adesivo papel 80g,82.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/3C4D1B98-81A0-4E7B-B35D-9E540D13A905.jpg?20231221135209470,Tag não encontrada,APM196,produtos para festa  
120 unid - produtos para festa adesivo para marmitinha adesivo papel 80g,90.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/A30A7378-0CC8-4084-9B73-56CED98A8562.jpg?20231221135209877,Tag não encontrada,APM1120,produtos para festa  
