Nome,Preço,Foto,Descrição,Código,Categoria
50 unid - apergaminhado 75g 155x75mm,38.7,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BBBC0C7B-F4AA-46F0-9C8D-03119A956B18.jpg?20231221135559473,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA751571,rifa 
100 unid - apergaminhado 75g 155x75mm,57.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/32AB482B-FFB9-485B-9132-13ECA1E4C5E0.jpg?20231221135559850,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA751572,rifa 
250 unid - apergaminhado 75g 155x75mm,135.9,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/4B42167E-3171-4412-B051-156FF29D4FB0.jpg?20231221135600223,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA751575,rifa 
500 unid - apergaminhado 75g 155x75mm,244.78,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/DCF7200D-CE4D-45FF-BD47-00C953DFB5E4.jpg?20231221135600600,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA7515710,rifa 
1000 unid - apergaminhado 75g 155x75mm,385.05,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F30F41D3-46AF-4D62-913C-AF30CAF25C3A.jpg?20231221135600990,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA7515720,rifa 
50 unid - apergaminhado 90g 155x75mm,42.3,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/9921DB67-7B73-4B8F-A015-87FDD15302B3.jpg?20231221135601367,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA901571,rifa 
100 unid - apergaminhado 90g 155x75mm,79.18,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/BB269361-7DEE-49A5-83E2-3C28104DDFE6.jpg?20231221135601743,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA901572,rifa 
250 unid - apergaminhado 90g 155x75mm,147.58,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/F4EA52B4-AE67-4747-A16E-CA1FD1564FCF.jpg?20231221135602110,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA901575,rifa 
500 unid - apergaminhado 90g 155x75mm,265.5,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/87F4C2E4-DF2C-449B-9FB5-0D7489BBAA97.jpg?20231221135602467,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA9015710,rifa 
1000 unid - apergaminhado 90g 155x75mm,521.88,https://arquivosgrafica.obs.la-south-2.myhuaweicloud.com/midia/1FCAA7EC-0F65-43C2-A490-98C9F1E65A6A/servicos/EDF3E863-0837-4A9A-A995-F8ED8E924A11.jpg?20231221135602857,"A Rifa é o meio mais comum e utilizado para sorteios e arrecadações em geral. Este produto tem como acabamento padrão a blocagem 50x1via, grampo e picote no canhoto para controle do sorteio.",RA9015720,rifa 
